Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
TAFE institutes,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Totals,,30,25,15,20,20
TAFE institutes,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,-,5,-,-,-
TAFE institutes,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,5,10,5,5,5
TAFE institutes,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,15,10,10,10,10
TAFE institutes,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,-,-,-,5,-
TAFE institutes,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Non-AQF level,,5,-,-,-,5
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Totals,,40,35,25,15,10
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Advanced diploma,,20,15,10,5,-
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Diploma,,10,10,5,5,5
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Certificate IV,,5,5,5,-,-
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Certificate III,,-,5,5,-,5
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Certificate II,,-,-,-,5,-
TAFE institutes,New South Wales,15 to 19 years,Advanced diploma / Associate degree,Non-AQF level,,-,-,-,5,-
TAFE institutes,New South Wales,15 to 19 years,Diploma,Totals,,630,615,495,340,360
TAFE institutes,New South Wales,15 to 19 years,Diploma,Advanced diploma,,40,50,30,15,15
TAFE institutes,New South Wales,15 to 19 years,Diploma,Diploma,,355,325,255,160,175
TAFE institutes,New South Wales,15 to 19 years,Diploma,Certificate IV,,95,80,85,55,60
TAFE institutes,New South Wales,15 to 19 years,Diploma,Certificate III,,115,115,95,65,80
TAFE institutes,New South Wales,15 to 19 years,Diploma,Certificate II,,10,10,15,5,10
TAFE institutes,New South Wales,15 to 19 years,Diploma,Non-AQF level,,10,35,15,40,15
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Totals,,"1,705","1,505","1,305","1,090","1,275"
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Advanced diploma,,10,10,5,5,15
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Diploma,,410,395,310,215,260
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Certificate IV,,920,725,640,570,665
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Certificate III,,305,300,270,215,295
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Certificate II,,25,35,35,15,20
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Certificate I,,5,5,5,5,-
TAFE institutes,New South Wales,15 to 19 years,Certificate IV,Non-AQF level,,30,35,40,70,20
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Totals,,"6,265","6,010","5,725","5,275","5,950"
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Advanced diploma,,15,15,10,5,5
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Diploma,,970,860,820,760,795
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Certificate IV,,"1,085","1,080","1,170",980,"1,140"
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Certificate III,,"3,720","3,545","3,210","2,945","3,555"
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Certificate II,,290,300,300,240,295
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Certificate I,,40,30,40,15,30
TAFE institutes,New South Wales,15 to 19 years,Certificate III,Non-AQF level,,145,180,180,330,130
TAFE institutes,New South Wales,15 to 19 years,Year 12,Totals,,"16,300","15,580","15,700","16,740","15,500"
TAFE institutes,New South Wales,15 to 19 years,Year 12,Advanced diploma,,105,70,65,40,35
TAFE institutes,New South Wales,15 to 19 years,Year 12,Diploma,,"1,530","1,390","1,280","1,050","1,145"
TAFE institutes,New South Wales,15 to 19 years,Year 12,Certificate IV,,"2,370","2,340","2,560","2,485","2,870"
TAFE institutes,New South Wales,15 to 19 years,Year 12,Certificate III,,"9,040","8,525","8,790","9,045","8,690"
TAFE institutes,New South Wales,15 to 19 years,Year 12,Certificate II,,"1,995","1,760","1,500","1,375","1,615"
TAFE institutes,New South Wales,15 to 19 years,Year 12,Certificate I,,280,235,165,165,120
TAFE institutes,New South Wales,15 to 19 years,Year 12,Non-AQF level,,990,"1,255","1,335","2,580","1,015"
TAFE institutes,New South Wales,15 to 19 years,Year 11,Totals,,"9,990","9,155","9,140","10,065","8,715"
TAFE institutes,New South Wales,15 to 19 years,Year 11,Advanced diploma,,10,10,5,5,5
TAFE institutes,New South Wales,15 to 19 years,Year 11,Diploma,,280,210,200,180,175
TAFE institutes,New South Wales,15 to 19 years,Year 11,Certificate IV,,965,790,860,790,865
TAFE institutes,New South Wales,15 to 19 years,Year 11,Certificate III,,"6,310","5,690","5,890","6,990","5,990"
TAFE institutes,New South Wales,15 to 19 years,Year 11,Certificate II,,"1,860","1,940","1,660","1,465","1,220"
TAFE institutes,New South Wales,15 to 19 years,Year 11,Certificate I,,245,175,125,90,100
